Taxonomy Name,MR
Trebouxiophyceae (class),38
Macaca fascicularis (species),38
Coptotermes formosanus (species),36
Penicillium (genus),36
Tetrahymena pigmentosa (species),34
Sterkiella histriomuscorum (species),34
Amniota (clade),34
Marchantia polymorpha (species),33
Cinara cedri (species),31
Spirotrichea (class),31
Auxenochlorella protothecoides (species),31
Gigaspora rosea (species),30
Metschnikowia aff. pulcherrima (species),29
Chlorellaceae (family),29
Chlorella clade (clade),28
Formicidae* (family),28
Mytilus coruscus (species),28
Papaver somniferum (species),27
Dunaliella viridis (species),27
Trypanosoma conorhini (species),26
Fungi (kingdom),26
Actinophrys sol* (species),26
Dissophora globulifera (species),26
Thalassiosira oceanica (species),26
Aphanomyces astaci (species),25
Didymella exigua CBS 183.55* (strain),25
Liparis tanakae (species),25
Hypocreomycetidae (subclass),24
Sterkiella nova (species),23
Aphanomyces euteiches (species),22
leotiomyceta (clade),22
Mycena sanguinolenta (species),21
Bacillariophycidae (clade),21
unclassified Pseudogymnoascus (no rank),21
Sesamum indicum (species),21
Tracheophyta (clade),21
Toxoplasma gondii RUB (strain),21
Phytophthora (genus),20
Bos mutus (species),20
Thraustotheca clavata* (species),20
Simiiformes (infraorder),19
Agaricomycotina (subphylum),19
Leucosporidium creatinivorum (species),19
Sclerotiniaceae (family),18
Aphis glycines (species),18
Ectocarpus siliculosus (species),18
fabids (clade),18
Argiope bruennichi (species),17
Thecamonas trahens ATCC 50062* (strain),16
Symbiodinium microadriaticum (species),16
Citrus (genus),16
Dicondylia (clade),16
Aspergillus neoniger CBS 115656* (strain),16
Sistotremastrum suecicum HHB10207 ss-3* (strain),16
Bodo saltans (species),16
Chloropicon primus (species),16
Streptophyta (phylum),15
Anas platyrhynchos (species),15
Salmo trutta (species),15
Magnoliopsida (class),15
Branchiostoma (genus),14
Agaricomycetes (class),14
Nasonia vitripennis (species),14
Nematostella vectensis (species),14
Asterias rubens (species),14
Porphyridium purpureum (species),14
Malassezia restricta (species),14
Aplysia californica (species),14
Tribolium castaneum (species),14
Ichthyophthirius multifiliis* (species),13
Gossypium schwendimanii (species),12
Capsaspora owczarzaki ATCC 30864* (strain),12
Chrysochromulina tobinii (species),12
Philodina roseola (species),12
Salpingoeca rosetta (species),12
Strongylocentrotus purpuratus (species),12
Vigna angularis (species),11
Vitrella brassicaformis CCMP3155* (strain),11
Tinamus guttatus (species),11
Agaricomycetidae (subclass),11
Hondaea fermentalgiana* (species),11
Pomacea canaliculata (species),11
Acytostelium subglobosum LB1* (strain),10
Clavispora lusitaniae ATCC 42720* (strain),10
Clupea harengus (species),10
Selaginella moellendorffii (species),10
Ixodes* (genus),10
Cricetulus griseus (species),10
Pythium (genus),10
Gnathostomata (clade),10
Chlorella (genus),9
Boreoeutheria (clade),9
Saccoglossus kowalevskii (species),9
Zea mays (species),8
Ectocarpales (order),8
Blastocystis sp. subtype 4 (species),8
Agaricomycetes incertae sedis (no rank),8
Monosiga brevicollis MX1* (strain),8
Spodoptera litura (species),8
Babesia ovata (species),8
Protostomia (clade),7
Eutheria (clade),7
Schizosaccharomyces octosporus yFS286* (strain),6
Synchytrium microbalum (species),6
Saimiri boliviensis boliviensis (subspecies),6
Hortaea werneckii (species),5
Colobus angolensis palliatus* (subspecies),5
Fagaceae (family),5
Fragilariopsis cylindrus CCMP1102* (strain),5
Daphnia (genus),4
Laurasiatheria (superorder),4
