Taxonomy Name,MR
Scenedesmus sp. NREL 46B-D3 (species),169467
Ephemera danica (species),45524
unclassified Scenedesmus (no rank),27813
Scenedesmus sp. PABB004 (species),25576
Sphaeropleales (order),24608
Stylonychia lemnae (species),15711
Tetradesmus obliquus (species),10739
Chlorophyceae (class),9182
Eukaryota (superkingdom),7027
Daphnia magna (species),6201
Viridiplantae (kingdom),5799
Daphnia pulex (species),5603
Artemisia annua (species),5014
core chlorophytes (clade),4841
Lupinus albus (species),4422
Scenedesmaceae (family),3666
Beta vulgaris subsp. vulgaris (subspecies),3263
Sporadotrichida (order),2681
Capsicum (genus),2444
Monoraphidium neglectum (species),1643
Tetrahymena thermophila SB210* (strain),1554
Tetrahymena (genus),1228
Chlorophyta (phylum),1081
Haematococcus lacustris (species),923
Raphidocelis subcapitata (species),898
Hyalella azteca (species),809
Klebsormidium nitens (species),731
Stichotrichia (subclass),672
Selenastraceae (family),561
Hymenostomatida (order),560
Volvox carteri f. nagariensis (forma),534
Chlamydomonas reinhardtii (species),405
Ochromonas danica (species),402
Eumetazoa (clade),401
Tetrabaena socialis* (species),401
Scenedesmus (genus),377
Chlamydomonadales (order),356
Chlorella sorokiniana (species),283
Tetrahymenina (suborder),270
Pteriomorphia (clade),259
Halteria grandinella (species),250
Oligohymenophorea (class),235
Gonium pectorale (species),226
Dunaliella salina (species),202
Ensete ventricosum (species),200
Poteriospumella lacustris (species),194
Ochrophyta (clade),181
Alveolata (clade),179
Stramenopiles (clade),171
Ciliophora (phylum),164
Mesangiospermae (clade),157
Hexacorallia (subclass),157
Oxytrichidae (family),156
Opisthokonta (clade),156
Bilateria (clade),155
Chlamydomonas eustigma (species),148
Coccomyxa subellipsoidea C-169* (isolate),147
Porphyra umbilicalis (species),145
Oxytricha trifallax (species),143
Scenedesmus acutus (species),128
Ecdysozoa (clade),121
Rhinolophus ferrumequinum (species),118
Tetrahymena thermophila (species),110
rosids (clade),109
Ixodes scapularis (species),103
Cyprinus carpio (species),101
Homo sapiens (species),99
Oxytricha (genus),98
Dikarya (subkingdom),96
Sar (clade),83
sordariomyceta (clade),81
Stylonychinae (subfamily),74
Intramacronucleata (subphylum),73
Saprolegniaceae (family),73
Saitoella complicata NRRL Y-17804* (strain),73
Ettlia sp. YC001* (species),73
Oomycota (class),72
Stylonychia (genus),70
Genlisea aurea (species),68
Guillardia theta CCMP2712* (strain),61
Chlorella variabilis (species),61
Micractinium conductrix (species),60
Embryophyta (clade),58
Trebouxia sp. A1-2 (species),56
Tanacetum cinerariifolium (species),56
Monodopsidaceae (family),55
Oryza sativa (species),53
Eimeria (genus),53
Ectocarpus (genus),49
Pentapetalae (clade),49
Helianthus annuus (species),48
Percomorphaceae (clade),45
Stentor coeruleus (species),44
Caenorhabditis remanei (species),41
Scenedesmus sp. Oki-4N (species),38
Metazoa (kingdom),38
Glomeraceae (family),38
