Taxonomy Name,MR
Daphnia magna (species),92000
Daphnia (genus),5739
Daphnia pulex (species),5117
Eukaryota (superkingdom),2013
Pancrustacea (clade),844
Eumetazoa (clade),770
Protostomia (clade),503
Stylonychia lemnae (species),314
Darwinula stevensoni* (species),208
Oligohymenophorea (class),179
Cyprideis torosa (species),155
Hyalella azteca (species),144
Arthropoda (phylum),122
Alveolata (clade),114
Ciliophora (phylum),107
Opisthokonta (clade),96
Tetrahymena thermophila SB210* (strain),89
Intramacronucleata (subphylum),88
Neoptera (infraclass),69
Nymphaea colorata (species),68
Chilodonella uncinata* (species),66
Paramecium tetraurelia (species),63
Hamiltosporidium magnivora (species),58
Phaeodactylum tricornutum (species),47
Pseudocohnilembus persalinus (species),45
Hymenostomatida (order),39
Daphniidae (family),36
Scleractinia (order),33
Sporadotrichida (order),31
Takifugu rubripes (species),31
Mitosporidium daphniae* (species),28
Brassicaceae (family),28
Stylophora pistillata (species),27
Simiiformes (infraorder),26
Naviculales (order),24
Bilateria (clade),23
Anomopoda (infraorder),22
Oomycota (class),22
Bacillariophycidae (clade),21
Metazoa (kingdom),21
Clupeocephala (no rank),19
Perkinsus marinus ATCC 50983 (strain),19
Ichthyophthirius multifiliis* (species),18
Lasius niger (species),17
Sar (clade),17
Prunus armeniaca (species),16
Stentor coeruleus (species),16
Chlorella variabilis (species),16
Polyphaga (suborder),14
Oikopleura dioica (species),14
Rhinolophus ferrumequinum (species),13
Aphanomyces euteiches (species),13
rosids (clade),13
Bacillariophyta (phylum),12
Trichomonas vaginalis G3* (isolate),12
Tritrichomonas foetus (species),12
Plasmodiophora brassicae* (species),12
Fistulifera solaris (species),11
Hominoidea (superfamily),11
Trebouxia sp. A1-2 (species),10
asterids (clade),10
Opisthorchiidae (family),10
Thecamonas trahens ATCC 50062* (strain),9
Brachionus plicatilis (species),8
Colobus angolensis palliatus* (subspecies),7
Mucoromycota (phylum),7
Besnoitia besnoiti (species),7
Blastocladiales* (order),7
Acropora (genus),7
Passeriformes (order),6
Tracheophyta (clade),6
Streptophyta (phylum),6
Fungi (kingdom),5
Tanacetum cinerariifolium (species),3
